word,fry_rank,cn
a,1,一个（冠词）
about,2,关于
all,3,全部
am,4,是
an,5,一（冠词）
and,6,和
are,7,是
as,8,像;作为
at,9,在
be,10,是;成为
been,11,曾经是
but,12,但是
by,13,由;被
called,14,被称为
can,15,会;能
come,16,来
could,17,能够
day,18,天
did,19,做（过去式）
do,20,做
down,21,向下
each,22,每一
find,23,找到
first,24,第一
for,25,为了
from,26,从
get,27,得到
go,28,去
had,29,有（过去式）
has,30,有
have,31,有
he,32,他
her,33,她的
him,34,他（宾格）
his,35,他的
how,36,怎样
I,37,我
if,38,如果
in,39,在里面
into,40,进入
is,41,是
it,42,它
its,43,它的
like,44,喜欢;像
long,45,长的
look,46,看
made,47,制作（过去式）
make,48,制作
many,49,许多
may,50,可以
more,51,更多
my,52,我的
no,53,不
not,54,不
now,55,现在
number,56,数字
of,57,…的
on,58,在上面
one,59,一
or,60,或者
other,61,其他的
out,62,在外面
part,63,部分
people,64,人们
said,65,说（过去式）
see,66,看见
she,67,她
so,68,所以
some,69,一些
than,70,比
that,71,那个
the,72,定冠词
their,73,他们的
them,74,他们（宾格）
then,75,然后
there,76,那里
these,77,这些
they,78,他们
this,79,这个
time,80,时间
to,81,到
two,82,二
up,83,向上
use,84,使用
was,85,是（过去式）
water,86,水
way,87,路;方式
we,88,我们
were,89,是（过去式）
what,90,什么
when,91,什么时候
which,92,哪个
who,93,谁
will,94,将要
with,95,和…一起
words,96,词
would,97,将会（委婉）
write,98,写
you,99,你
your,100,你的
after,101,在…之后
again,102,又;再
air,103,空气
also,104,也
America,105,美国
animal,106,动物
another,107,另一个
answer,108,回答
any,109,任何
around,110,周围
ask,111,问
away,112,离开
back,113,后背;回来
because,114,因为
before,115,在…之前
big,116,大的
boy,117,男孩
came,118,来（过去式）
change,119,改变
different,120,不同的
does,121,做（三单）
end,122,结束
even,123,甚至
follow,124,跟随
form,125,形式
found,126,找到（过去式）
give,127,给
good,128,好的
great,129,伟大的
hand,130,手
help,131,帮助
here,132,这里
home,133,家
house,134,房子
just,135,刚刚;只是
kind,136,善良的;种类
know,137,知道
land,138,陆地
large,139,大的
learn,140,学习
letter,141,信;字母
line,142,线
little,143,小的
live,144,住
man,145,男人
me,146,我（宾格）
means,147,意味着
men,148,男人们
most,149,最多的
mother,150,妈妈
move,151,移动
much,152,许多
must,153,必须
name,154,名字
need,155,需要
new,156,新的
off,157,脱落;离开
old,158,老的;旧的
only,159,只有
our,160,我们的
over,161,在…上方
page,162,页
picture,163,图画
place,164,地方
play,165,玩
point,166,指
put,167,放
read,168,读
right,169,右边;正确
same,170,相同的
say,171,说
sentence,172,句子
set,173,套;设置
should,174,应该
show,175,展示
small,176,小的
sound,177,声音
spell,178,拼写
still,179,仍然
study,180,学习
such,181,这样的
take,182,拿
tell,183,告诉
things,184,东西（复数）
think,185,想;思考
three,186,三
through,187,穿过
too,188,也;太
try,189,尝试
turn,190,转
us,191,我们（宾格）
very,192,非常
want,193,想要
well,194,好
went,195,去（过去式）
where,196,哪里
why,197,为什么
work,198,工作
world,199,世界
years,200,年（复数）
above,201,在上方
add,202,加
almost,203,几乎
along,204,沿着
always,205,总是
began,206,开始（过去式）
begin,207,开始
being,208,存在
below,209,在下方
between,210,在两者之间
book,211,书
both,212,两者都
car,213,汽车
carry,214,搬运
children,215,孩子们
city,216,城市
close,217,近的;关
country,218,国家
cut,219,剪;切
don't,220,不要
earth,221,地球
eat,222,吃
enough,223,足够的
every,224,每一
example,225,例子
eyes,226,眼睛（复数）
face,227,脸
family,228,家庭
far,229,远的
father,230,爸爸
feet,231,脚（复数）
few,232,很少的
food,233,食物
four,234,四
girl,235,女孩
got,236,得到（过去式）
group,237,组
grow,238,生长
hard,239,难的;硬的
head,240,头
hear,241,听见
high,242,高的
idea,243,主意
important,244,重要的
Indian,245,印第安人
it's,246,它是
keep,247,保持
last,248,最后的
late,249,晚的
leave,250,离开
left,251,左边;留下
let,252,让
life,253,生活
light,254,光;轻的
list,255,清单
might,256,可能
mile,257,英里
miss,258,想念;错过
mountains,259,山（复数）
near,260,近的
never,261,从不
next,262,下一个
night,263,夜晚
often,264,经常
once,265,一次
open,266,打开
own,267,自己的
paper,268,纸
plant,269,植物;种植
real,270,真的
river,271,河
run,272,跑
saw,273,看见（过去式）
school,274,学校
sea,275,海
second,276,第二
seem,277,似乎
side,278,边
something,279,某事物
sometimes,280,有时
song,281,歌
soon,282,很快
start,283,开始
state,284,州;状态
stop,285,停
story,286,故事
talk,287,谈话
those,288,那些
thought,289,想法;想（过去式）
together,290,一起
took,291,拿（过去式）
tree,292,树
under,293,在下面
until,294,直到
walk,295,走
watch,296,手表;观看
while,297,当…时候
white,298,白色
without,299,没有
young,300,年轻的
