排产号,月,核心词,词型分类,绑定形态,标题草案,备选标题草案,库内撞名,链形建议,画风建议,轮次,状态
B001,M1,day,名词,day,《白天 · Day》,,,动作空间链,水彩风,1,待产
B002,M1,time,名词,time,《时间 · Time》,,,量级递进链,蜡笔童趣风,1,待产
B003,M1,water,名词,water,《水 · Water》,,,过程链,剪纸风,1,待产
B004,M1,way,名词,way,《路 · Way》,,,仪式收束链,粉彩风,1,待产
B005,M1,back,名词,back,《后背 · Back》,,,藏找游戏链,简笔矢量风,1,待产
B006,M1,boy,名词,boy,《男孩 · Boy》,,,接力链,拼贴风(Eric Carle式),1,待产
B007,M1,hand,名词,hand,《手 · Hand》,,,声音反转链,水彩风,1,待产
B008,M1,home,名词,home,《家 · Home》,,,自然循环链,蜡笔童趣风,1,待产
B009,M1,house,名词,house,《房子 · House》,,,空间寻找链,剪纸风,1,待产
B010,M1,letter,名词,letter,《信 · Letter》,,,收集链,粉彩风,1,待产
B011,M1,man,名词,man,《男人 · Man》,,,数数递进链,简笔矢量风,1,待产
B012,M1,men,名词,men,《男人们 · Men》,,,感官发现链,拼贴风(Eric Carle式),1,待产
B013,M1,mother,名词,mother,《妈妈 · Mother》,,,位置变换链,水彩风,1,待产
B014,M1,name,名词,name,《名字 · Name》,,,模仿扮演链,蜡笔童趣风,1,待产
B015,M1,picture,名词,picture,《图画 · Picture》,,,时间顺序链,剪纸风,1,待产
B016,M1,car,名词,car,《汽车 · Car》,,,问答链,粉彩风,1,待产
B017,M1,children,名词,children,《孩子们 · Children》,,,动作空间链,简笔矢量风,1,待产
B018,M1,father,名词,father,《爸爸 · Father》,,,量级递进链,拼贴风(Eric Carle式),1,待产
B019,M1,feet,名词,feet,《脚 · Feet》,,,过程链,水彩风,1,待产
B020,M1,girl,名词,girl,《女孩 · Girl》,,,仪式收束链,蜡笔童趣风,1,待产
B021,M1,head,名词,head,《头 · Head》,,,藏找游戏链,剪纸风,1,待产
B022,M1,night,名词,night,《夜晚 · Night》,,,接力链,粉彩风,1,待产
B023,M1,paper,名词,paper,《纸 · Paper》,,,声音反转链,简笔矢量风,1,待产
B024,M1,school,名词,school,《学校 · School》,,,自然循环链,拼贴风(Eric Carle式),1,待产
