word,level,cn
a,preprimer,一个（冠词）
and,preprimer,和
away,preprimer,离开
big,preprimer,大的
blue,preprimer,蓝色
can,preprimer,会;能
come,preprimer,来
down,preprimer,向下
find,preprimer,找到
for,preprimer,为了
funny,preprimer,有趣的
go,preprimer,去
help,preprimer,帮助
here,preprimer,这里
I,preprimer,我
in,preprimer,在里面
is,preprimer,是
it,preprimer,它
jump,preprimer,跳
little,preprimer,小的
look,preprimer,看
make,preprimer,制作
me,preprimer,我（宾格）
my,preprimer,我的
not,preprimer,不
one,preprimer,一
play,preprimer,玩
red,preprimer,红色
run,preprimer,跑
said,preprimer,说（过去式）
see,preprimer,看见
the,preprimer,定冠词
three,preprimer,三
to,preprimer,到
two,preprimer,二
up,preprimer,向上
we,preprimer,我们
where,preprimer,哪里
yellow,preprimer,黄色
you,preprimer,你
all,primer,全部
am,primer,是
are,primer,是
at,primer,在
ate,primer,吃（过去式）
be,primer,是;成为
black,primer,黑色
brown,primer,棕色
but,primer,但是
came,primer,来（过去式）
did,primer,做（过去式）
do,primer,做
eat,primer,吃
four,primer,四
get,primer,得到
good,primer,好的
have,primer,有
he,primer,他
into,primer,进入
like,primer,喜欢;像
must,primer,必须
new,primer,新的
no,primer,不
now,primer,现在
on,primer,在上面
our,primer,我们的
out,primer,在外面
please,primer,请
pretty,primer,漂亮的
ran,primer,跑（过去式）
ride,primer,骑
saw,primer,看见（过去式）
say,primer,说
she,primer,她
so,primer,所以
soon,primer,很快
that,primer,那个
there,primer,那里
they,primer,他们
this,primer,这个
too,primer,也;太
under,primer,在下面
want,primer,想要
was,primer,是（过去式）
well,primer,好
went,primer,去（过去式）
what,primer,什么
white,primer,白色
who,primer,谁
will,primer,将要
with,primer,和…一起
yes,primer,是的
after,g1,在…之后
again,g1,又;再
an,g1,一（冠词）
any,g1,任何
as,g1,像;作为
ask,g1,问
by,g1,由;被
could,g1,能够
every,g1,每一
fly,g1,飞
from,g1,从
give,g1,给
going,g1,将要去
had,g1,有（过去式）
has,g1,有
her,g1,她的
him,g1,他（宾格）
his,g1,他的
how,g1,怎样
just,g1,刚刚;只是
know,g1,知道
let,g1,让
live,g1,住
may,g1,可以
of,g1,…的
old,g1,老的;旧的
once,g1,一次
open,g1,打开
over,g1,在…上方
put,g1,放
round,g1,圆的
some,g1,一些
stop,g1,停
take,g1,拿
thank,g1,感谢
them,g1,他们（宾格）
then,g1,然后
think,g1,想;思考
walk,g1,走;散步
were,g1,是（过去式）
when,g1,什么时候
always,g2,总是
around,g2,周围
because,g2,因为
been,g2,曾经是
before,g2,在…之前
best,g2,最好的
both,g2,两者都
buy,g2,买
call,g2,喊;打电话
